,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
10,wYPWK6BtbWc,BATB9 | Youness Amrani - FIGHT NIGHT,9,16028,313,3
11,HHJSRoR8hI4,BATB9 | Michael Sommer - FIGHT NIGHT,9,14801,310,1
12,ocbGeJsrYeY,BATB9 | MICHAEL SOMMER - Slow Mo,9,16500,479,2
13,Q0zz-j55uGQ,BATB9 | Michael Sommer - THE FINAL FOUR,9,10381,261,5
14,SV6jK84Ud1Q,BATB9 | MICKY PAPA - Slow Mo,9,16212,510,3
15,PlL0L4rwl6E,BATB9 | Micky Papa - THE FINAL FOUR,9,12776,438,4
16,D_Tdq96Qmo0,BATB9 | YOUNESS AMRANI - Slow Mo,9,18108,520,5
17,Lt8iHUcJbFQ,BATB9 | Youness Amrani - THE FINAL FOUR,9,15134,374,1
18,3CL-sHKxOhE,BATB9 | DIEGO NAJERA - Slow Mo,9,36807,1008,5
19,kphuEu46ccY,BATB9 | Diego Najera - THE FINAL FOUR,9,25169,682,7
20,fxfnryeEDKY,BATB9 | Mason Silva Vs Youness Amrani - Round 3,9,78084,1510,39
21,-yy-s4JF60Y,BATB9 | Micky Papa Vs Aramis Hudson - Round 3,9,130152,2405,30
22,ljiHvsOcoGk,BATB9 | Eric Koston - Battle Prologue: Youness Amrani Vs Mason Silva - Round 3,9,10491,141,2
23,cPzwBL8PPmg,BATB9 | Kelly Hart - Battle Prologue: Micky Papa Vs Aramis Hudson - Round 3,9,11051,189,3
24,87RCckG5-NA,BATB9 | Diego Najera Vs Denny Pham - Round 3,9,198664,2663,35
25,yBoJLUQRhtM,BATB9 | Walker Ryan Vs Michael Sommer - Round 3,9,72314,1353,20
26,EMbAjTxx25Y,BATB9 | Mikey Taylor - Battle Prologue: Diego Najera Vs Denny Pham - Round 3,9,15253,179,1
27,T0fXoXWPuTY,BATB9 | Eric Koston - Battle Prologue: Walker Ryan Vs Michael Sommer - Round 3,9,13329,188,3
28,Fyee6J4BCss,BATB9 | Bobby Worrest Vs Youness Amrani - Round 2,9,70884,1301,28
29,hmvsokgNUnQ,BATB9 | Denny Pham Vs Nick Matthews - Round 2,9,60503,1086,110
30,ubtLlPVIqaM,BATB9 | Aramis Hudson Vs Blake Carpenter - Round 2,9,100817,1855,28
31,5bzHYfHq9rg,BATB9 | James Craig - Battle Prologue:  Youness Amrani Vs Bobby Worrest - Round 2,9,11599,157,7
32,DLpyd4dYMmI,BATB9 | Kelly Hart - Battle Prologue:  Denny Pham Vs Nick Matthews - Round 2,9,11216,144,2
33,hcVg18TBHog,BATB9 | Kelly Hart - Battle Prologue:  Blake Carpenter Vs Aramis Hudson - Round 2,9,11075,203,5
34,oVPtm6tjeFY,BATB9 | Josh Matthews Vs Diego Najera - Round 2,9,105867,1725,15
35,ygX93EO9xt0,BATB9 | Dashawn Jordan Vs Mason Silva - Round 2,9,90776,2464,22
36,2wgipD6Kj0Y,BATB9 | Kelly Hart - Battle Prologue: Diego Najera Vs Josh Matthews - Round 2,9,18093,225,7
37,eX6U3h2md4k,BATB9 | Mike Mo Capaldi - Battle Prologue: Dashawn Jordan vs. Mason Silva - Round 2,9,14400,230,3
