	PX	PY	PZ	X	Y	Z	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
94.0	155.64124208829566	1282.9297515488938	163.33606272780327	3.72117946939525	8.81889893691319	0.16959661303806303	1.2896625287844354	3.0563974668822382	0.058777707079924725	25.79325057568871	61.127949337644765	1.1755541415984945	10.788228813235001	88.92591401425868	11.32159313635392	1.7256950605791355	1.8868632129575054	0.05910576352046938
96.0	189.88167322266625	1216.2272019546572	144.4021999611881	4.693692349414979	6.641764525941048	0.17251933900838134	1.6267098092063892	2.3018601775495497	0.05979064671286246	32.53419618412779	46.037203550990995	1.1958129342572492	13.161594643429597	84.30244559551818	10.009197776975096	2.1657567220521075	1.3034546952343875	0.06238230773418491
98.0	233.7101198959362	1132.4333624078383	127.98731047985991	5.887080346048042	4.845573480118254	0.18002861824501262	2.0403065717965334	1.679347797970005	0.06239316457831661	40.80613143593067	33.5869559594001	1.2478632915663324	16.199551067419495	78.49429923250118	8.871404340656524	2.696851806295482	0.882928524530373	0.06734563964969267
100.0	288.92338089960043	1038.908919828576	113.8269731501099	7.327124234669258	3.4505151653853887	0.19254160961616304	2.5393877524367214	1.1958574291831077	0.06672983692295853	50.78775504873443	23.917148583662154	1.3345967384591706	20.026642686840518	72.01167886377557	7.8898845510671265	3.3241804053170405	0.593632448251816	0.0743617279994842
102.0	357.35383569026845	941.8900721075523	101.6993197435534	9.028429275140239	2.4171495440903517	0.21091834186632472	3.1290151484741635	0.8377201957389923	0.07309872699651082	62.58030296948327	16.754403914779843	1.4619745399302164	24.76988036709915	65.28684478787534	7.049259674510842	4.045155088233084	0.4008534095757402	0.08395401101458377
104.0	440.6629454261492	846.0864181043424	91.42541257841695	10.98540645752107	1.6791940540307675	0.23649186340357903	3.8072517566678727	0.5819643120822254	0.08196183417177925	76.14503513335745	11.639286241644509	1.6392366834355852	30.54442781993763	58.6462415219088	6.337126696025947	4.845131724899284	0.27492318716800546	0.0968355743369902
106.0	540.0314533758241	754.6962378191627	82.87024239057503	13.161435190132392	1.1665636400872244	0.27114011660657417	4.561405847081358	0.40430014903510314	0.09397000368127084	91.22811694162715	8.086002980702064	1.8794000736254168	37.4321279321142	52.311556942355054	5.744127486534634	5.693079992027522	0.19352812021105925	0.113954516660525
108.0	655.7465593382291	669.644171303835	75.94479998538927	15.478001191785099	0.8176087127426982	0.31739928960066055	5.364266443394657	0.2833615870194237	0.11000221134921372	107.28532886789314	5.667231740388475	2.200044226984274	45.45288787671783	46.41619693176543	5.264092398806154	6.538485490711685	0.14110195917219798	0.13655447901909024
110.0	786.7185462205575	591.890423669173	70.60963698524299	17.80695692305304	0.5834200644815046	0.3786215761885607	6.171420992783307	0.2021979863887282	0.13122023901713167	123.42841985566614	4.043959727774564	2.624404780342634	54.531174220699846	41.02671783667187	4.894287079668241	7.3112075094028235	0.10727636636643455	0.16625271419356003
112.0	930.0029255595473	521.7228115491141	66.88033035697254	19.969992881163456	0.42769358349324577	0.45918272790631565	6.921072130690314	0.14822730077096144	0.1591406066050436	138.42144261380628	2.9645460154192285	3.182812132100872	64.46289057641009	36.16306958590761	4.635791242185323	7.925960655872838	0.08533952552480402	0.20513853038506955
114.0	1080.4479607628555	458.99449849259366	64.83529299635111	21.749309682071974	0.3246920773562283	0.5647460333154833	7.537736342626655	0.11252969898481065	0.1957260603625201	150.75472685253308	2.250593979696213	3.9145212072504023	74.89094577445157	31.815074252266733	4.494040054119874	8.292436119457898	0.07102080499351977	0.25589464364597625
116.0	1230.6159012951996	403.30099894453815	64.62639644372682	22.912185363941767	0.25678903153386157	0.7025884799030047	7.94075834274154	0.08899629660320751	0.24349861196933273	158.8151668548308	1.7799259320641503	4.869972239386655	85.29979423350035	27.954695033541608	4.479560448471852	8.331118263112204	0.06163028353605522	0.3219421914102131
118.0	1371.129990800428	354.10169674202007	66.49287615989277	23.250036086289622	0.2120547587326592	0.8819926283421891	8.057848480564319	0.07349257906993108	0.30567535180502203	161.15696961128637	1.4698515813986217	6.11350703610044	95.03948873045003	24.544459272822397	4.608934963755128	7.9937253505838335	0.05548472839255804	0.4076104482808167
120.0	1491.565066534814	310.80062031663056	70.77896424885317	22.629046276534083	0.18268494364041987	1.1147040319570227	7.842629812670064	0.06331377680755478	0.3863269784549067	156.8525962534013	1.2662755361510956	7.726539569098135	103.38741204903134	21.543057368875452	4.906023951204574	7.284834149619856	0.05153823428448202	0.5183243633122098
122.0	1581.8992897417988	272.79718672645856	77.95542778984216	21.04206274208714	0.16361748601571147	1.4154336150081204	7.292623231421586	0.05670549956104834	0.49055190975632484	145.85246462843173	1.134109991220967	9.811038195126498	109.64890326143077	18.908860084412968	5.40345849818735	6.27615027689302	0.04915011873007344	0.6607954373072829
